Indice,Ubigeo,Departamento,Provincia,Distrito,Poblacion_proyectada2020,Intervalo_inferior,Intervalo_superior,Grupo_robusto,Ubicacion_pobreza_monetaria
1142,151016,LIMA,YAUYOS,HUANTAN,943,20.6,36.7,12,1142
1143,22001,ÁNCASH,YUNGAY,YUNGAY,22302,21.1,36.2,12,1143
1144,220605,SAN MARTÍN,MARISCAL CÁCERES,PAJARILLO,5818,17.7,39.6,12,1144
1145,20508,ÁNCASH,BOLOGNESI,HUALLANCA,6473,20.1,37.1,12,1145
1146,21007,ÁNCASH,HUARI,HUACHIS,3589,19.0,37.9,12,1146
1147,21009,ÁNCASH,HUARI,MASIN,1360,19.0,37.9,12,1147
1148,20504,ÁNCASH,BOLOGNESI,AQUIA,2079,17.5,39.4,12,1148
1149,220804,SAN MARTÍN,RIOJA,NUEVA CAJAMARCA,46862,19.7,37.2,12,1149
1150,220809,SAN MARTÍN,RIOJA,YURACYACU,3784,19.7,37.2,12,1150
1151,90305,HUANCAVELICA,ANGARAES,CHINCHO,967,19.3,37.5,12,1151
1152,90309,HUANCAVELICA,ANGARAES,JULCAMARCA,1929,19.3,37.5,12,1152
1153,120603,JUNÍN,SATIPO,LLAYLLA,7548,16.3,40.3,12,1153
1154,120609,JUNÍN,SATIPO,VIZCATÁN DEL ENE,5800,16.3,40.3,12,1154
1155,30301,APURÍMAC,ANTABAMBA,ANTABAMBA,2860,17.7,38.7,12,1155
1156,80307,CUSCO,ANTA,MOLLEPATA,3496,16.1,40.1,12,1156
1157,21402,ÁNCASH,OCROS,ACAS,676,20.7,35.4,12,1157
1158,21406,ÁNCASH,OCROS,CONGAS,1313,20.7,35.4,12,1158
1159,21409,ÁNCASH,OCROS,SAN PEDRO,544,20.7,35.4,12,1159
1160,200603,PIURA,SULLANA,IGNACIO ESCUDERO,21676,19.2,36.9,12,1160
1161,200606,PIURA,SULLANA,MIGUEL CHECA,10210,19.2,36.9,12,1161
1162,220502,SAN MARTÍN,LAMAS,ALONSO DE ALVARADO,14486,19.3,36.7,12,1162
1163,220511,SAN MARTÍN,LAMAS,ZAPATERO,5857,19.3,36.7,12,1163
1164,90701,HUANCAVELICA,TAYACAJA,PAMPAS,11278,17.4,38.7,12,1164
1165,90204,HUANCAVELICA,ACOBAMBA,CAJA,1809,18.3,37.6,12,1165
1166,90205,HUANCAVELICA,ACOBAMBA,MARCAS,1519,18.3,37.6,12,1166
1167,80206,CUSCO,ACOMAYO,RONDOCÁN,1915,15.2,40.5,12,1167
1168,21901,ÁNCASH,SIHUAS,SIHUAS,5687,18.1,37.6,12,1168
1169,81201,CUSCO,QUISPICANCHI,URCOS,12152,17.6,38.1,12,1169
1170,150718,LIMA,HUAROCHIRI,SAN DAMIAN,1132,17.1,38.3,12,1170
1171,220204,SAN MARTÍN,BELLAVISTA,HUALLAGA,2735,11.8,43.5,12,1171
1172,51105,AYACUCHO,VILCAS HUAMÁN,HUAMBALPA,1280,10.2,44.9,12,1172
1173,230402,TACNA,TARATA,HÉROES ALBARRACÍN,295,17.1,38.1,12,1173
1174,20108,ÁNCASH,HUARAZ,OLLEROS,2507,18.4,36.7,12,1174
1175,20112,ÁNCASH,HUARAZ,TARICA,7529,18.4,36.7,12,1175
1176,230406,TACNA,TARATA,SUSAPAYA,488,18.7,36.3,12,1176
1177,220201,SAN MARTÍN,BELLAVISTA,BELLAVISTA,18627,19.1,35.9,12,1177
1178,50610,AYACUCHO,LUCANAS,LLAUTA,877,12.8,42.0,12,1178
1179,100507,HUÁNUCO,HUAMALIES,MONZÓN,12077,15.6,39.1,12,1179
1180,40119,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,1299,15.0,39.6,12,1180
1181,100902,HUÁNUCO,PUERTO INCA,CODO DEL POZUZO,8248,15.2,39.2,12,1181
1182,20203,ÁNCASH,AIJA,HUACLLAN,358,13.4,40.9,12,1182
1183,40607,AREQUIPA,CONDESUYOS,SALAMANCA,419,15.9,38.4,12,1183
1184,140311,LAMBAYEQUE,LAMBAYEQUE,SAN JOSÉ,17754,19.4,34.9,12,1184
1185,100301,HUÁNUCO,DOS DE MAYO,LA UNIÓN,7093,18.1,36.2,12,1185
1186,190109,PASCO,PASCO,SIMÓN BOLÍVAR,12708,17.4,36.5,12,1186
1187,120705,JUNÍN,TARMA,LA UNIÓN,3650,16.4,37.3,12,1187
1188,120708,JUNÍN,TARMA,SAN PEDRO DE CAJAS,3314,16.4,37.3,12,1188
1189,60502,CAJAMARCA,CONTUMAZÁ,CHILETE,2752,18.9,34.5,12,1189
1190,10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,6503,20.0,33.5,13,1190
1191,100903,HUÁNUCO,PUERTO INCA,HONORIA,4782,18.1,35.3,13,1191
1192,100904,HUÁNUCO,PUERTO INCA,TOURNAVISTA,6543,18.1,35.3,13,1192
1193,50104,AYACUCHO,HUAMANGA,CARMEN ALTO,31712,20.4,32.9,13,1193
1194,90606,HUANCAVELICA,HUAYTARÁ,OCOYO,735,19.3,33.9,13,1194
1195,90608,HUANCAVELICA,HUAYTARÁ,QUERCO,1211,19.3,33.9,13,1195
1196,90616,HUANCAVELICA,HUAYTARÁ,TAMBO,809,19.3,33.9,13,1196
1197,120121,JUNÍN,HUANCAYO,HUAYUCACHI,10925,15.9,37.2,13,1197
1198,120126,JUNÍN,HUANCAYO,PUCARA,4859,15.9,37.2,13,1198
1199,40810,AREQUIPA,LA UNIÓN,TOMEPAMPA,658,14.5,38.6,13,1199
1200,100208,HUÁNUCO,AMBO,TOMAY KICHWA,3350,14.1,39.0,13,1200
1201,160112,LORETO,MAYNAS,BELÉN,71005,21.6,31.3,13,1201
1202,180102,MOQUEGUA,MARISCAL NIETO,CARUMAS,2197,17.7,35.3,13,1202
1203,180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,723,17.7,35.3,13,1203
1204,220504,SAN MARTÍN,LAMAS,CAYNARACHI,11081,13.6,39.3,13,1204
1205,230405,TACNA,TARATA,SITAJARA,334,19.0,33.8,13,1205
1206,230407,TACNA,TARATA,TARUCACHI,312,19.0,33.8,13,1206
1207,221002,SAN MARTÍN,TOCACHE,NUEVO PROGRESO,12525,16.4,36.4,13,1207
1208,221003,SAN MARTÍN,TOCACHE,PÓLVORA,11095,16.4,36.4,13,1208
1209,60508,CAJAMARCA,CONTUMAZÁ,YONÁN,6993,18.8,33.9,13,1209
1210,20602,ÁNCASH,CARHUAZ,ACOPAMPA,2794,19.4,32.9,13,1210
1211,20607,ÁNCASH,CARHUAZ,PARIAHUANCA,1455,19.4,32.9,13,1211
1212,20609,ÁNCASH,CARHUAZ,SHILLA,2915,19.4,32.9,13,1212
1213,70106,CALLAO,CALLAO,VENTANILLA,369618,22.8,29.4,13,1213
1214,130206,LA LIBERTAD,ASCOPE,RÁZURI,9415,17.6,34.4,14,1214
1215,140307,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,33952,19.3,32.7,14,1215
1216,120128,JUNÍN,HUANCAYO,QUILCAS,4063,11.2,40.7,14,1216
1217,120129,JUNÍN,HUANCAYO,SAN AGUSTÍN,18684,11.2,40.7,14,1217
1218,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,46035,17.3,34.5,14,1218
1219,80801,CUSCO,ESPINAR,ESPINAR,38886,16.1,35.7,14,1219
1220,140302,LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,1571,15.9,35.8,14,1220
1221,130201,LA LIBERTAD,ASCOPE,ASCOPE,6855,19.7,32.0,14,1221
1222,10606,AMAZONAS,RODRIGUEZ DE MEND,LONGAR,1673,18.5,33.1,14,1222
1223,200801,PIURA,SECHURA,SECHURA,50892,15.3,36.3,14,1223
1224,200806,PIURA,SECHURA,RINCONADA LLICUAR,3141,15.3,36.3,14,1224
1225,40411,AREQUIPA,CASTILLA,TIPÁN,429,16.5,35.0,14,1225
1226,40412,AREQUIPA,CASTILLA,UÑÓN,202,16.5,35.0,14,1226
1227,40414,AREQUIPA,CASTILLA,VIRACO,1513,16.5,35.0,14,1227
1228,90107,HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,662,12.4,39.1,14,1228
1229,21105,ÁNCASH,HUARMEY,MALVAS,763,13.8,37.7,14,1229
1230,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,3815,19.2,32.2,14,1230
1231,140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,8829,17.4,33.9,14,1231
1232,80301,CUSCO,ANTA,ANTA,25464,15.8,35.5,14,1232
1233,90505,HUANCAVELICA,CHURCAMPA,LA MERCED,1179,13.5,37.6,14,1233
1234,120903,JUNÍN,CHUPACA,CHONGOS BAJO,4774,14.9,36.2,14,1234
1235,120905,JUNÍN,CHUPACA,HUAMANCACA CHICO,10839,14.9,36.2,14,1235
1236,100201,HUÁNUCO,AMBO,AMBO,23267,15.4,35.6,14,1236
1237,30303,APURÍMAC,ANTABAMBA,HUAQUIRCA,2049,14.6,36.3,14,1237
1238,151001,LIMA,YAUYOS,YAUYOS,1276,16.1,34.8,14,1238
1239,80107,CUSCO,CUSCO,SAYLLA,8338,14.9,35.9,14,1239
1240,100606,HUÁNUCO,LEONCIO PRADO,MARÍANO DÁMASO BERAU,11187,9.3,41.5,14,1240
1241,150606,LIMA,HUARAL,IHUARI,2015,15.9,34.9,14,1241
1242,40502,AREQUIPA,CAYLLOMA,ACHOMA,817,17.3,33.4,14,1242
1243,40506,AREQUIPA,CAYLLOMA,COPORAQUE,1126,17.3,33.4,14,1243
1244,20601,ÁNCASH,CARHUAZ,CARHUAZ,16675,16.8,33.8,14,1244
1245,101001,HUÁNUCO,LAURICOCHA,JESÚS,3921,12.9,37.5,14,1245
1246,20301,ÁNCASH,ANTONIO RAYMONDI,LLAMELLÍN,3413,16.5,33.8,14,1246
1247,150804,LIMA,HUAURA,CHECRAS,852,16.7,33.5,14,1247
1248,150808,LIMA,HUAURA,PACCHO,1502,16.7,33.5,14,1248
1249,120119,JUNÍN,HUANCAYO,HUANCÁN,29996,17.4,32.7,14,1249
1250,230202,TACNA,CANDARAVE,CAIRANI,970,17.0,33.1,14,1250
1251,80907,CUSCO,LA CONVENCIÓN,KIMBIRI,19099,14.7,35.4,14,1251
1252,200605,PIURA,SULLANA,MARCAVELICA,32265,17.0,32.8,14,1252
1253,200607,PIURA,SULLANA,QUERECOTILLO,28130,17.0,32.8,14,1253
1254,21201,ÁNCASH,HUAYLAS,CARAZ,26949,17.5,32.2,14,1254
1255,40519,AREQUIPA,CAYLLOMA,YANQUE,2158,15.5,34.1,14,1255
1256,21014,ÁNCASH,HUARI,SAN MARCOS,19498,14.2,35.4,14,1256
1257,220701,SAN MARTÍN,PICOTA,PICOTA,11450,16.2,33.2,14,1257
1258,220707,SAN MARTÍN,PICOTA,SAN HILARIÓN,3823,16.2,33.2,14,1258
1259,120407,JUNÍN,JAUJA,EL MANTARO,2743,17.4,32.0,14,1259
1260,120423,JUNÍN,JAUJA,PACCHA,1413,17.4,32.0,14,1260
1261,120430,JUNÍN,JAUJA,SAUSA,3361,17.4,32.0,14,1261
1262,120904,JUNÍN,CHUPACA,HUÁCHAC,3030,14.1,35.2,14,1262
1263,120907,JUNÍN,CHUPACA,SAN JUAN DE JARPA,2598,14.1,35.2,14,1263
1264,190101,PASCO,PASCO,CHAUPIMARCA,26924,19.8,29.4,14,1264
1265,150705,LIMA,HUAROCHIRI,CHICLA,3222,14.7,34.5,14,1265
1266,120707,JUNÍN,TARMA,PALCAMAYO,3006,9.9,39.3,14,1266
1267,21703,ÁNCASH,RECUAY,COTAPARACO,394,12.9,36.1,14,1267
1268,220302,SAN MARTÍN,EL DORADO,AGUA BLANCA,2359,13.9,35.1,14,1268
1269,10203,AMAZONAS,BAGUA,COPALLÍN,4660,18.4,30.7,14,1269
1270,20606,ÁNCASH,CARHUAZ,MARCARÁ,10782,16.3,32.7,14,1270
1271,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,57746,18.3,30.7,14,1271
1272,21701,ÁNCASH,RECUAY,RECUAY,4527,18.0,31.0,14,1272
1273,21702,ÁNCASH,RECUAY,CÁTAC,4060,18.0,31.0,14,1273
1274,10610,AMAZONAS,RODRIGUEZ DE MEND,SANTA ROSA,529,15.7,33.2,14,1274
1275,120802,JUNÍN,YAULI,CHACAPALPA,665,13.5,35.4,14,1275
1276,120809,JUNÍN,YAULI,SUITUCANCHA,710,13.5,35.4,14,1276
1277,90402,HUANCAVELICA,CASTROVIRREYNA,ARMA,972,16.4,32.4,14,1277
1278,90410,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,769,16.4,32.4,14,1278
1279,211105,PUNO,SAN ROMÁN,SAN MIGUEL,73839,16.6,32.1,14,1279
1280,120133,JUNÍN,HUANCAYO,SAPALLANGA,25401,16.1,32.6,14,1280
1281,81302,CUSCO,URUBAMBA,CHINCHERO,12298,15.4,33.3,14,1281
1282,81303,CUSCO,URUBAMBA,HUAYLLABAMBA,6308,15.4,33.3,14,1282
1283,151003,LIMA,YAUYOS,AYAUCA,1070,16.9,31.8,14,1283
1284,151011,LIMA,YAUYOS,COLONIA,1088,16.9,31.8,14,1284
1285,151023,LIMA,YAUYOS,PUTINZA,517,16.9,31.8,14,1285
1286,180202,MOQUEGUA,GENERAL SÁNCHEZ CE,CHOJATA,576,17.4,31.2,14,1286
1287,180206,MOQUEGUA,GENERAL SÁNCHEZ CE,LLOQUE,493,17.4,31.2,14,1287
1288,180210,MOQUEGUA,GENERAL SÁNCHEZ CE,UBINAS,1574,17.4,31.2,14,1288
1289,180211,MOQUEGUA,GENERAL SÁNCHEZ CE,YUNGA,823,17.4,31.2,14,1289
1290,80308,CUSCO,ANTA,PUCYURA,3166,17.1,31.4,14,1290
1291,80309,CUSCO,ANTA,ZURITE,3758,17.1,31.4,14,1291
1292,21001,ÁNCASH,HUARI,HUARI,9803,15.6,32.9,14,1292
1293,20802,ÁNCASH,CASMA,BUENA VISTA ALTA,5413,17.6,30.8,14,1293
1294,20804,ÁNCASH,CASMA,YAUTÁN,9140,17.6,30.8,14,1294
1295,130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,229115,19.6,28.8,14,1295
1296,120421,JUNÍN,JAUJA,MUQUIYAUYO,2380,15.0,33.4,14,1296
1297,120434,JUNÍN,JAUJA,YAUYOS,10049,15.0,33.4,14,1297
1298,80401,CUSCO,CALCA,CALCA,23423,15.8,32.5,14,1298
1299,130202,LA LIBERTAD,ASCOPE,CHICAMA,16065,16.4,31.9,14,1299
1300,140303,LAMBAYEQUE,LAMBAYEQUE,ILLIMO,9472,16.6,31.5,14,1300
1301,80802,CUSCO,ESPINAR,CONDOROMA,872,12.3,35.6,14,1301
1302,150510,LIMA,CAÑETE,NUEVO IMPERIAL,28216,17.2,30.8,14,1302
1303,70107,CALLAO,CALLAO,MI PERÚ,52348,16.8,31.0,14,1303
1304,220704,SAN MARTÍN,PICOTA,PILLUANA,881,9.3,38.6,14,1304
1305,220401,SAN MARTÍN,HUALLAGA,SAPOSOA,14798,16.0,31.8,14,1305
1306,220402,SAN MARTÍN,HUALLAGA,ALTO SAPOSOA,5374,16.0,31.8,14,1306
1307,80903,CUSCO,LA CONVENCIÓN,HUAYOPATA,5487,11.7,36.0,14,1307
1308,90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,9579,15.1,32.6,14,1308
1309,120706,JUNÍN,TARMA,PALCA,5897,11.0,36.5,14,1309
1310,150124,LIMA,LIMA,PUCUSANA,16615,15.9,31.6,14,1310
1311,100607,HUÁNUCO,LEONCIO PRADO,PUCAYACU,3917,14.7,32.7,14,1311
1312,100610,HUÁNUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,2667,14.7,32.7,14,1312
1313,210809,PUNO,MELGAR,UMACHIRI,3884,7.8,39.6,14,1313
1314,220602,SAN MARTÍN,MARISCAL CÁCERES,CAMPANILLA,17190,9.7,37.6,14,1314
1315,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,19750,17.4,29.9,14,1315
1316,230203,TACNA,CANDARAVE,CAMILACA,1120,15.5,31.7,14,1316
1317,230205,TACNA,CANDARAVE,HUANUARA,480,15.5,31.7,14,1317
1318,50801,AYACUCHO,PAUCAR DEL SARA SA,PAUSA,3376,13.3,33.8,14,1318
1319,81304,CUSCO,URUBAMBA,MACHUPICCHU,5704,17.3,29.7,14,1319
1320,80601,CUSCO,CANCHIS,SICUANI,64711,13.7,33.3,14,1320
1321,21405,ÁNCASH,OCROS,COCHAS,1566,14.6,32.4,14,1321
1322,21407,ÁNCASH,OCROS,LLIPA,233,14.6,32.4,14,1322
1323,160602,LORETO,UCAYALI,INAHUAYA,1739,15.4,31.6,14,1323
1324,30401,APURÍMAC,AYMARAES,CHALHUANCA,5191,14.3,32.5,14,1324
1325,230403,TACNA,TARATA,ESTIQUE,219,14.6,32.1,14,1325
1326,230404,TACNA,TARATA,ESTIQUE-PAMPA,325,14.6,32.1,14,1326
1327,40602,AREQUIPA,CONDESUYOS,ANDARAY,685,15.0,31.7,14,1327
1328,40605,AREQUIPA,CONDESUYOS,IRAY,599,15.0,31.7,14,1328
1329,20106,ÁNCASH,HUARAZ,JANGAS,5206,15.5,31.2,14,1329
1330,90602,HUANCAVELICA,HUAYTARÁ,AYAVI,830,15.2,31.5,14,1330
1331,90603,HUANCAVELICA,HUAYTARÁ,CÓRDOVA,927,15.2,31.5,14,1331
1332,90605,HUANCAVELICA,HUAYTARÁ,LARAMARCA,876,15.2,31.5,14,1332
1333,120210,JUNÍN,CONCEPCIÓN,MATAHUASI,6318,9.5,37.0,14,1333
1334,80902,CUSCO,LA CONVENCIÓN,ECHARATE,25281,13.3,33.2,14,1334
1335,100901,HUÁNUCO,PUERTO INCA,PUERTO INCA,10665,10.4,36.1,14,1335
1336,130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,19973,17.3,28.8,14,1336
1337,200502,PIURA,PAITA,AMOTAPE,2526,13.6,32.5,14,1337
1338,200505,PIURA,PAITA,LA HUACA,14170,13.6,32.5,14,1338
1339,150404,LIMA,CANTA,HUAROS,761,16.0,30.1,14,1339
1340,150406,LIMA,CANTA,SAN BUENAVENTURA,595,16.0,30.1,14,1340
1341,20205,ÁNCASH,AIJA,SUCCHA,727,12.0,34.1,14,1341
1342,40120,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,650,12.3,33.7,14,1342
1343,10604,AMAZONAS,RODRIGUEZ DE MEND,HUAMBO,2664,17.0,28.9,14,1343
1344,10611,AMAZONAS,RODRIGUEZ DE MEND,TOTORA,288,17.0,28.9,14,1344
1345,120208,JUNÍN,CONCEPCIÓN,MANZANARES,1532,12.0,33.9,14,1345
1346,120209,JUNÍN,CONCEPCIÓN,MARISCAL CASTILLA,1465,12.0,33.9,14,1346
1347,150710,LIMA,HUAROCHIRI,LAHUAYTAMBO,593,15.8,29.9,14,1347
1348,150719,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,635,15.8,29.9,14,1348
1349,150726,LIMA,HUAROCHIRI,SANGALLAYA,636,15.8,29.9,14,1349
1350,190104,PASCO,PASCO,HUAYLLAY,9451,16.8,28.8,14,1350
1351,20502,ÁNCASH,BOLOGNESI,ABELARDO PARDO LEZAME,215,14.7,30.8,14,1351
1352,20513,ÁNCASH,BOLOGNESI,PACLLÓN,874,14.7,30.8,14,1352
1353,20514,ÁNCASH,BOLOGNESI,SAN MIGUEL DE CORPANQ,471,14.7,30.8,14,1353
1354,120420,JUNÍN,JAUJA,MUQUI,1057,11.7,33.8,14,1354
1355,120425,JUNÍN,JAUJA,PARCO,1152,11.7,33.8,14,1355
1356,10307,AMAZONAS,BONGARÁ,JAZÁN,7931,16.1,29.4,14,1356
1357,140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,20042,15.8,29.6,14,1357
1358,150125,LIMA,LIMA,PUENTE PIEDRA,395819,17.4,28.0,14,1358
1359,21705,ÁNCASH,RECUAY,LLACLLIN,855,17.4,27.9,14,1359
1360,21707,ÁNCASH,RECUAY,PAMPAS CHICO,854,17.4,27.9,14,1360
1361,21708,ÁNCASH,RECUAY,PARARIN,1716,17.4,27.9,14,1361
1362,21709,ÁNCASH,RECUAY,TAPACOCHA,432,17.4,27.9,14,1362
1363,21710,ÁNCASH,RECUAY,TICAPAMPA,2743,17.4,27.9,14,1363
1364,140206,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,16007,16.2,29.0,14,1364
1365,150807,LIMA,HUAURA,LEONCIO PRADO,1932,14.7,30.1,14,1365
1366,150809,LIMA,HUAURA,SANTA LEONOR,768,14.7,30.1,14,1366
1367,120130,JUNÍN,HUANCAYO,SAN JERONIMO DE TUNÁN,13031,16.2,28.5,14,1367
1368,120132,JUNÍN,HUANCAYO,SAÑO,6412,16.2,28.5,14,1368
1369,120134,JUNÍN,HUANCAYO,SICAYA,22244,16.2,28.5,14,1369
1370,40204,AREQUIPA,CAMANA,MARISCAL CÁCERES,6450,11.8,32.8,14,1370
1371,150608,LIMA,HUARAL,PACARAOS,1184,12.6,31.8,14,1371
1372,120501,JUNÍN,JUNÍN,JUNÍN,11238,11.3,33.1,14,1372
1373,10607,AMAZONAS,RODRIGUEZ DE MEND,MARISCAL BENAVIDES,1559,15.2,29.0,14,1373
1374,150901,LIMA,OYÓN,OYÓN,11903,14.8,29.3,14,1374
1375,220501,SAN MARTÍN,LAMAS,LAMAS,15474,14.0,30.2,14,1375
1376,220903,SAN MARTÍN,SAN MARTÍN,CACATACHI,3778,13.7,30.5,14,1376
1377,220908,SAN MARTÍN,SAN MARTÍN,JUAN GUERRA,4147,13.7,30.5,14,1377
1378,20505,ÁNCASH,BOLOGNESI,CAJACAY,1868,13.6,30.5,14,1378
1379,150139,LIMA,LIMA,SANTA ROSA,37940,15.1,28.9,14,1379
1380,220507,SAN MARTÍN,LAMAS,RUMISAPA,3842,10.8,33.1,14,1380
1381,120404,JUNÍN,JAUJA,ATAURA,1382,13.6,30.2,14,1381
1382,120406,JUNÍN,JAUJA,CURICACA,1454,13.6,30.2,14,1382
1383,120601,JUNÍN,SATIPO,SATIPO,42647,16.1,27.6,14,1383
1384,80906,CUSCO,LA CONVENCIÓN,QUELLOUNO,15150,14.1,29.5,14,1384
1385,80908,CUSCO,LA CONVENCIÓN,SANTA TERESA,6945,14.1,29.5,14,1385
1386,130401,LA LIBERTAD,CHEPÉN,CHEPÉN,48917,17.1,26.4,14,1386
1387,60801,CAJAMARCA,JAEN,JAÉN,106009,15.7,27.6,14,1387
1388,80103,CUSCO,CUSCO,POROY,12333,11.7,31.6,14,1388
1389,211101,PUNO,SAN ROMÁN,JULIACA,252671,16.6,26.7,14,1389
1390,90604,HUANCAVELICA,HUAYTARÁ,HUAYACUNDO ARMA,488,13.8,29.2,14,1390
1391,90609,HUANCAVELICA,HUAYTARÁ,QUITO-ARMA,718,13.8,29.2,14,1391
1392,90614,HUANCAVELICA,HUAYTARÁ,SANTIAGO DE QUIRAHUAR,356,13.8,29.2,14,1392
1393,120304,JUNÍN,CHANCHAMAYO,SAN LUIS DE SHUARO,3976,12.2,30.8,14,1393
1394,21807,ÁNCASH,SANTA,SAMANCO,5225,11.5,31.4,14,1394
1395,81008,CUSCO,PARURO,PILLPINTO,1033,10.8,31.9,14,1395
1396,190301,PASCO,OXAPAMPA,OXAPAMPA,17255,16.3,26.3,14,1396
1397,190302,PASCO,OXAPAMPA,CHONTABAMBA,6412,16.3,26.3,14,1397
1398,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,152555,18.0,24.4,14,1398
1399,81301,CUSCO,URUBAMBA,URUBAMBA,23754,12.5,29.6,15,1399
1400,130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,19368,15.5,26.6,15,1400
1401,150903,LIMA,OYÓN,CAUJUL,524,12.9,29.2,15,1401
1402,150905,LIMA,OYÓN,NAVAN,825,12.9,29.2,15,1402
1403,40410,AREQUIPA,CASTILLA,PAMPACOLCA,1862,13.1,28.8,15,1403
1404,130103,LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,38334,14.2,27.6,15,1404
1405,150402,LIMA,CANTA,ARAHUAY,591,12.9,29.0,15,1405
1406,150405,LIMA,CANTA,LACHAQUI,880,12.9,29.0,15,1406
1407,140205,LAMBAYEQUE,FERREÑAFE,PITIPO,21977,13.2,28.5,15,1407
1408,10601,AMAZONAS,RODRIGUEZ DE MEND,SAN NICOLÁS,6499,15.3,26.4,15,1408
1409,10303,AMAZONAS,BONGARÁ,CHURUJA,301,14.0,27.5,15,1409
1410,10311,AMAZONAS,BONGARÁ,VALERA,837,14.0,27.5,15,1410
1411,20201,ÁNCASH,AIJA,AIJA,2182,11.4,30.1,15,1411
1412,200802,PIURA,SECHURA,BELLAVISTA DE LA UNIÓN,5210,10.4,30.8,15,1412
1413,150112,LIMA,LIMA,INDEPENDENCIA,222850,15.2,26.0,15,1413
1414,200501,PIURA,PAITA,PAITA,101905,10.7,30.4,15,1414
1415,230104,TACNA,TACNA,CIUDAD NUEVA,32834,15.6,25.4,15,1415
1416,120804,JUNÍN,YAULI,MARCAPOMACOCHA,784,11.9,29.1,15,1416
1417,120807,JUNÍN,YAULI,SANTA BÁRBARA DE CARH,1003,11.9,29.1,15,1417
1418,90108,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,905,12.8,28.0,15,1418
1419,90111,HUANCAVELICA,HUANCAVELICA,MARISCAL CÁCERES,494,12.8,28.0,15,1419
1420,150514,LIMA,CAÑETE,SAN LUIS,13163,13.3,27.4,15,1420
1421,150142,LIMA,LIMA,VILLA EL SALVADOR,423887,16.6,23.7,15,1421
1422,220902,SAN MARTÍN,SAN MARTÍN,ALBERTO LEVEAU,915,9.3,31.0,15,1422
1423,220912,SAN MARTÍN,SAN MARTÍN,SAN ANTONIO,1734,9.3,31.0,15,1423
1424,150305,LIMA,CAJATAMBO,MANAS,972,10.9,29.3,15,1424
1425,21805,ÁNCASH,SANTA,MORO,8683,10.7,29.5,15,1425
1426,220203,SAN MARTÍN,BELLAVISTA,BAJO BIAVO,15041,6.0,34.2,15,1426
1427,120108,JUNÍN,HUANCAYO,CHONGOS ALTO,1523,12.1,28.0,15,1427
1428,120122,JUNÍN,HUANCAYO,INGENIO,2448,12.1,28.0,15,1428
1429,120127,JUNÍN,HUANCAYO,QUICHUAY,1931,12.1,28.0,15,1429
1430,120202,JUNÍN,CONCEPCIÓN,ACO,1643,10.9,29.2,15,1430
1431,120211,JUNÍN,CONCEPCIÓN,MITO,1457,10.9,29.2,15,1431
1432,150123,LIMA,LIMA,PACHACÁMAC,142133,13.3,26.7,15,1432
1433,120902,JUNÍN,CHUPACA,AHUAC,6745,9.5,30.4,15,1433
1434,30101,APURÍMAC,ABANCAY,ABANCAY,76639,12.4,27.4,15,1434
1435,21808,ÁNCASH,SANTA,SANTA,22689,14.1,25.7,15,1435
1436,50805,AYACUCHO,PAUCAR DEL SARA SA,MARCABAMBA,621,8.6,31.1,15,1436
1437,240202,TUMBES,CONTRALMIRANTE VI,CASITAS,2700,12.0,27.7,15,1437
1438,220601,SAN MARTÍN,MARISCAL CÁCERES,JUANJUI,34024,12.8,26.8,15,1438
1439,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,245137,15.1,24.4,15,1439
1440,30109,APURÍMAC,ABANCAY,TAMBURCO,12386,12.8,26.6,15,1440
1441,140107,LAMBAYEQUE,CHICLAYO,LAGUNAS,10829,12.7,26.8,15,1441
1442,21806,ÁNCASH,SANTA,NEPEÑA,14846,14.5,24.9,15,1442
1443,21104,ÁNCASH,HUARMEY,HUAYAN,961,10.1,29.3,15,1443
1444,221005,SAN MARTÍN,TOCACHE,UCHIZA,20960,12.4,26.9,15,1444
