Departamento_inb;Provincia_inb;Distrito_inb;Total hogares;Total Cifras absolutas;Cifras absolutas 1 NBI;Cifras absolutas 2 NBI;Cifras absolutas 3 NBI;Cifras absolutas 4 NBI;Cifras absolutas 5 NBI;conteo;Indice;Ubigeo;Departamento_pobrz;Provincia_pobrez;Distrito_pobrez;Poblacion_proyectada2020;Intervalo_inferior;Intervalo_superior;Grupo_robusto;Ubicacion_pobreza_monetaria
CUSCO;QUISPICANCHI;OCONGATE;4294;1483;1208;238;34;3;0;1;243;81210;CUSCO;QUISPICANCHI;OCONGATE;18587;39,7;67,4;6;243
CUSCO;ESPINAR;OCORURO;478;320;235;80;5;0;0;1;937;80804;CUSCO;ESPINAR;OCORURO;995;23,8;44,8;11;937
CUSCO;URUBAMBA;OLLANTAYTAMBO;2800;1005;690;253;55;7;0;1;1073;81306;CUSCO;URUBAMBA;OLLANTAYTAMBO;11808;20,5;40,1;12;1073
CUSCO;PARURO;OMACHA;1602;684;576;98;9;1;0;1;102;81006;CUSCO;PARURO;OMACHA;5842;47,2;75,7;5;102
CUSCO;QUISPICANCHI;OROPESA;2514;477;425;47;4;1;0;1;1462;81211;CUSCO;QUISPICANCHI;OROPESA;11563;12,8;25,3;15;1462
CUSCO;PARURO;PACCARITAMBO;659;201;177;18;6;0;0;1;753;81007;CUSCO;PARURO;PACCARITAMBO;2092;28,6;49,7;10;753
CUSCO;ESPINAR;PALLPATA;1714;697;604;89;4;0;0;1;1091;80805;CUSCO;ESPINAR;PALLPATA;5111;17;42,8;12;1091
CUSCO;CANAS;PAMPAMARCA;547;120;110;8;2;0;0;1;857;80506;CUSCO;CANAS;PAMPAMARCA;1889;23,1;49,7;10;857
CUSCO;PARURO;PARURO;986;226;200;23;3;0;0;1;1074;81001;CUSCO;PARURO;PARURO;3474;22,9;37,7;12;1074
CUSCO;PAUCARTAMBO;PAUCARTAMBO;3449;1419;856;407;117;37;2;1;486;81101;CUSCO;PAUCARTAMBO;PAUCARTAMBO;13435;34,2;58,3;8;486
CUSCO;LA CONVENCIÓN;PICHARI;6291;3111;2333;624;132;19;3;1;1056;80910;CUSCO;LA CONVENCIÓN;PICHARI;27234;20;41,3;12;1056
CUSCO;ESPINAR;PICHIGUA;1030;315;287;26;2;0;0;1;535;80806;CUSCO;ESPINAR;PICHIGUA;2824;30,6;59,3;8;535
CUSCO;PARURO;PILLPINTO;446;70;62;6;2;0;0;1;1395;81008;CUSCO;PARURO;PILLPINTO;1033;10,8;31,9;14;1395
CUSCO;CALCA;PISAC;2912;714;595;109;9;1;0;1;858;80405;CUSCO;CALCA;PISAC;11607;24,3;48,4;10;858
CUSCO;CANCHIS;PITUMARCA;2426;914;685;199;28;2;0;1;510;80605;CUSCO;CANCHIS;PITUMARCA;8366;31,7;59,3;8;510
CUSCO;ACOMAYO;POMACANCHI;2127;552;463;80;9;0;0;1;524;80205;CUSCO;ACOMAYO;POMACANCHI;7598;32,3;58,1;8;524
CUSCO;CUSCO;POROY;676;160;150;9;1;0;0;1;1388;80103;CUSCO;CUSCO;POROY;12333;11,7;31,6;14;1388
CUSCO;ANTA;PUCYURA;772;233;201;30;2;0;0;1;1290;80308;CUSCO;ANTA;PUCYURA;3166;17,1;31,4;14;1290
CUSCO;CANAS;QUEHUE;891;401;358;37;6;0;0;1;195;80507;CUSCO;CANAS;QUEHUE;2660;40,9;69,4;6;195
CUSCO;LA CONVENCIÓN;QUELLOUNO;4833;2018;1575;349;82;12;0;1;1384;80906;CUSCO;LA CONVENCIÓN;QUELLOUNO;15150;14,1;29,5;14;1384
CUSCO;CHUMBIVILCAS;QUIÑOTA;1100;467;305;117;39;6;0;1;215;80707;CUSCO;CHUMBIVILCAS;QUIÑOTA;4010;42,1;66,9;6;215
CUSCO;QUISPICANCHI;QUIQUIJANA;2946;1052;815;200;36;1;0;1;435;81212;CUSCO;QUISPICANCHI;QUIQUIJANA;11856;36,8;58,9;8;435
CUSCO;ACOMAYO;RONDOCAN;764;160;137;16;6;1;0;1;1167;80206;CUSCO;ACOMAYO;RONDOCÁN;1915;15,2;40,5;12;1167
CUSCO;CUSCO;SAN JERÓNIMO;15138;1651;1523;115;11;2;0;1;1679;80104;CUSCO;CUSCO;SAN JERÓNIMO;70453;6,5;17,5;18;1679
CUSCO;CANCHIS;SAN PABLO;1508;393;343;46;3;1;0;1;933;80606;CUSCO;CANCHIS;SAN PABLO;4475;22,4;46,5;11;933
CUSCO;CANCHIS;SAN PEDRO;898;153;141;11;0;1;0;1;1512;80607;CUSCO;CANCHIS;SAN PEDRO;2808;8,4;27,5;15;1512
CUSCO;CALCA;SAN SALVADOR;1511;413;359;50;4;0;0;1;722;80406;CUSCO;CALCA;SAN SALVADOR;6175;27,9;51,9;9;722
CUSCO;CUSCO;SAN SEBASTIAN;32798;3162;2966;186;9;1;0;1;1764;80105;CUSCO;CUSCO;SAN SEBASTIÁN;134182;3,6;11,8;20;1764
CUSCO;ACOMAYO;SANGARARA;1002;392;352;36;4;0;0;1;676;80207;CUSCO;ACOMAYO;SANGARARA;3404;26,3;55,4;9;676
CUSCO;LA CONVENCIÓN;SANTA ANA;6101;655;595;58;1;1;0;1;1757;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;29990;3,3;13,3;20;1757
CUSCO;LA CONVENCIÓN;SANTA TERESA;2081;570;461;95;14;0;0;1;1385;80908;CUSCO;LA CONVENCIÓN;SANTA TERESA;6945;14,1;29,5;14;1385
CUSCO;CUSCO;SANTIAGO;27012;2978;2807;161;9;1;0;1;1756;80106;CUSCO;CUSCO;SANTIAGO;103817;4,2;12,4;20;1756
CUSCO;CHUMBIVILCAS;SANTO TOMAS;7257;2382;1846;479;48;9;0;1;559;80701;CUSCO;CHUMBIVILCAS;SANTO TOMÁS;22809;31,2;57,7;8;559
CUSCO;CUSCO;SAYLLA;1479;361;305;51;5;0;0;1;1239;80107;CUSCO;CUSCO;SAYLLA;8338;14,9;35,9;14;1239
CUSCO;CANCHIS;SICUANI;17474;2829;2527;286;16;0;0;1;1320;80601;CUSCO;CANCHIS;SICUANI;64711;13,7;33,3;14;1320
CUSCO;ESPINAR;SUYCKUTAMBO;654;280;233;44;3;0;0;1;629;80807;CUSCO;ESPINAR;SUYCKUTAMBO;1566;28;56,7;9;629
CUSCO;CALCA;TARAY;1224;297;249;45;3;0;0;1;655;80407;CUSCO;CALCA;TARAY;4880;27,7;55,4;9;655
CUSCO;CANCHIS;TINTA;1698;408;375;30;3;0;0;1;1028;80608;CUSCO;CANCHIS;TINTA;5474;19,2;44,4;11;1028
CUSCO;CANAS;TUPAC AMARU;799;144;126;17;1;0;0;1;494;80508;CUSCO;CANAS;TÚPAC AMARU;2620;30,4;61,6;8;494
CUSCO;QUISPICANCHI;URCOS;3095;665;563;97;5;0;0;1;1169;81201;CUSCO;QUISPICANCHI;URCOS;12152;17,6;38,1;12;1169
CUSCO;URUBAMBA;URUBAMBA;5607;946;768;141;28;7;2;1;1399;81301;CUSCO;URUBAMBA;URUBAMBA;23754;12,5;29,6;15;1399
CUSCO;CHUMBIVILCAS;VELILLE;2666;778;663;102;12;1;0;1;765;80708;CUSCO;CHUMBIVILCAS;VELILLE;8472;26,1;51,4;10;765
CUSCO;LA CONVENCIÓN;VILCABAMBA;3082;1248;894;290;56;8;0;1;788;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;10240;25,2;51,2;10;788
CUSCO;LA CONVENCIÓN;VILLA KINTIARINA;535;387;233;122;28;4;0;1;663;80913;CUSCO;LA CONVENCIÓN;VILLA KINTIARINA;2369;27,6;55,1;9;663
CUSCO;LA CONVENCIÓN;VILLA VIRGEN;501;278;203;66;9;0;0;1;613;80912;CUSCO;LA CONVENCIÓN;VILLA VIRGEN;2391;29,7;55,8;9;613
CUSCO;CUSCO;WANCHAQ;17700;633;622;11;0;0;0;1;1862;80108;CUSCO;CUSCO;WANCHAQ;61364;0,5;2,3;25;1862
CUSCO;CANAS;YANAOCA;2743;734;652;75;6;1;0;1;355;80501;CUSCO;CANAS;YANAOCA;9270;37,3;62,9;7;355
CUSCO;CALCA;YANATILE;3013;978;760;183;30;1;4;1;924;80408;CUSCO;CALCA;YANATILE;9473;22,1;47;11;924
CUSCO;PARURO;YAURISQUE;632;141;115;20;6;0;0;1;1076;81009;CUSCO;PARURO;YAURISQUE;1931;22,9;37,7;12;1076
CUSCO;URUBAMBA;YUCAY;775;102;92;9;1;0;0;1;1624;81307;CUSCO;URUBAMBA;YUCAY;3402;7,6;20,5;17;1624
CUSCO;ANTA;ZURITE;1000;257;231;23;3;0;0;1;1291;80309;CUSCO;ANTA;ZURITE;3758;17,1;31,4;14;1291
