Column9,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
394,60305,CAJAMARCA,CELENDÍN,JORGE CHÁVEZ,461,"36,8",61,7
395,120605,JUNÍN,SATIPO,PAMPA HERMOSA,3654,"32,7","64,9",7
396,131103,LA LIBERTAD,GRAN CHIMÚ,MARMOT,2566,"38,9","58,7",7
397,190205,PASCO,DANIEL ALCIDES CARR,SAN PEDRO DE PILLAO,1377,"38,3","59,3",7
398,21905,ÁNCASH,SIHUAS,CHINGALPO,916,"33,7","63,8",7
399,100509,HUÁNUCO,HUAMALIES,PUÑOS,4146,31,"66,5",7
4,50411,AYACUCHO,HUANTA,PUCACOLPA,2299,"65,8","90,5",2
40,60611,CAJAMARCA,CUTERVO,SANTA CRUZ,2671,"60,4","76,7",3
400,61309,CAJAMARCA,SANTA CRUZ,SEXI,437,34,"63,5",7
401,160404,LORETO,MARISCAL RAMON CA,SAN PABLO,12680,"42,1","55,3",7
402,90704,HUANCAVELICA,TAYACAJA,AHUAYCHA,3978,31,"66,3",8
403,160102,LORETO,MAYNAS,ALTO NANAY,3277,"37,5","59,8",8
404,101107,HUÁNUCO,YAROWILCA,PAMPAMARCA,996,"35,1","62,2",8
405,90303,HUANCAVELICA,ANGARAES,CALLANMARCA,615,"32,7","64,5",8
406,60811,CAJAMARCA,JAEN,SAN JOSÉ DEL ALTO,8050,"38,9","58,3",8
407,50501,AYACUCHO,LA MAR,SAN MIGUEL,11410,"38,2","58,9",8
408,50607,AYACUCHO,LUCANAS,HUAC-HUAS,1550,"35,7","61,4",8
409,160511,LORETO,REQUENA,YAQUERANA,2263,"36,1","60,8",8
41,61006,CAJAMARCA,SAN MARCOS,JOSÉ MANUEL QUIROZ,3627,"60,3","76,8",3
410,210406,PUNO,CHUCUITO,POMATA,13999,"37,2","59,7",8
411,20302,ÁNCASH,ANTONIO RAYMONDI,ACZO,1958,"33,9","62,8",8
412,60906,CAJAMARCA,SAN IGNACIO,SAN JOSÉ DE LOURDES,19890,"38,2","58,5",8
413,30218,APURÍMAC,ANDAHUAYLAS,TURPO,3736,"35,1","61,6",8
414,210806,PUNO,MELGAR,NUÑOA,8374,"35,2","61,4",8
415,90103,HUANCAVELICA,HUANCAVELICA,ACORIA,17056,"39,2","57,4",8
416,160107,LORETO,MAYNAS,NAPO,17605,"39,5","56,9",8
417,160508,LORETO,REQUENA,SOPLIN,695,"34,8","61,6",8
418,30710,APURÍMAC,GRAU,SANTA ROSA,562,"33,4","62,9",8
419,210310,PUNO,CARABAYA,USICAYOS,8586,"33,8","62,5",8
42,21504,ÁNCASH,PALLASCA,HUACASCHUQUE,532,"54,6","81,9",4
420,21904,ÁNCASH,SIHUAS,CASHAPAMPA,2945,"33,5","62,8",8
421,210901,PUNO,MOHO,MOHO,10927,"37,1","59,1",8
422,60401,CAJAMARCA,CHOTA,CHOTA,51231,41,"55,1",8
423,210307,PUNO,CARABAYA,ITUATA,8569,"30,2","65,9",8
424,130301,LA LIBERTAD,BOLÍVAR,BOLÍVAR,5031,"39,7","56,3",8
425,101104,HUÁNUCO,YAROWILCA,APARICIO POMARES,4754,"33,2","62,7",8
426,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,3966,"39,5","56,4",8
427,21910,ÁNCASH,SIHUAS,SICSIBAMBA,1502,"34,4","61,5",8
428,10116,AMAZONAS,CHACHAPOYAS,OLLEROS,435,"36,5","59,3",8
429,210405,PUNO,CHUCUITO,PISACOMA,8114,"29,8",66,8
43,200204,PIURA,AYABACA,LAGUNAS,5816,56,80,4
430,160110,LORETO,MAYNAS,TORRES CAUSANA,5061,"38,8","57,1",8
431,61106,CAJAMARCA,SAN MIGUEL,LA FLORIDA,2165,"37,9","57,9",8
